Review_Content,Review_stay_date,Reviewer_name,Rating
"Air condition cooling system,room not getting properly cold

everything

Stayed in April 2023",Stayed in April 2023,Virambhai,10
"everything was good

location and rooms

Stayed in April 2023",Stayed in April 2023,Neha,10
"nothing

amazing

Stayed in April 2023",Stayed in April 2023,Shweta,10
"Fridge was empty

Excellent Room Infrastructure with facilities

Stayed in April 2023",Stayed in April 2023,Yogesh,10
"NOTHING

GOOD SIZE ROOMS AND GREAT ROOM SERVICE

Stayed in April 2023",Stayed in April 2023,Dharmesh,10
"No I don’t like this hotel

Stayed in April 2023",Stayed in April 2023,Prakash,4.0
"Best

Nice service

Stayed in December 2022",Stayed in December 2022,Janagaran,10
"nothing

clean and good service

Stayed in December 2022",Stayed in December 2022,Jiten,10
"Services

Best stay ever

Stayed in December 2022",Stayed in December 2022,Nikhil,10
"slightly pricier than expected

cleanliness , good hygiene , excellent food, courteous and helpful staff who accommodated all our requests

Stayed in December 2022",Stayed in December 2022,Swaroop,10
"I would have appreciated if the hotel confirmed that breakfast was included with the stay , this was not confirmed  at the time of checkout or in the booking confirmation detail .
We were only told about it when we checked out . We paid for breakfast but was not able to use this as we were not notified that this was included , I would like to ask for the refund for breakfast.

location

Stayed in December 2022",Stayed in December 2022,Naina,5.0
"Confidence

Stayed in November 2022",Stayed in November 2022,Kuldeep,10
"Unfortunately stay at property is most disheartening as this property has 5 star rating. Would expect certain standards. 
15% was not applied until advised on 4 day. 
It does not deliver. 
Rooms are tired, dirty (needs a deep clean) and also in of brightening up. 
Staff are polite but unfortunately you have to keep asking or lack of what you are trying to get across leaves you frustrated. Tea takes to long to come at breakfast you are almost finished or waiting time for puri is the same you’ve finished dinner before it arrives just some instances. No salt and pepper on tables always have to ask. No tissues on tables. 
Last night I witnessed 7-8 children running and shouting in restaurant nothing was done until I asked manager to have a word yet they continued, mention this to reception this morning and was told nothing they can do. This again is not what you expect from a 5 star hotel. 
Spa is ok again dated and unclean. Rooms are not ready for when you attend you have to wait. Cold rooms with loud staff while having a full body massage is not what you want. 
Parking had to be on street most days although we had two rooms as no space. Driver collecting us asked to wait on road. 
Roof top restaurant was not open in December and space not available to relax. 
Pool is pretty to look at but unusable due to monkey pee and poo. (Witnessed them cleaning and stinging from it too). 
Gym was used three occasions all of which there was no water available and no towels. Had to ring reception, music was not on and air-con was off.  
No hairdryer or ironing board available in room.

Food was exceptional and of good varied great quantity very night. so many chalices for breakfast and dinner.

Stayed in December 2022",Stayed in December 2022,Tanuja,2.0
"*check in process was having no hospitality or welcome procedure. 
*no water in room. duty manager informed of some *hot water problems
*towels were not kept after room cleaning 
*rooms were having a foul smell
*our two wheeler was parked in the premises of the *hotel and in the morning the hotel security THREW IT ON THE ROAD. (Ridiculous) 
*food at breakfast was not upto mark
*all steamed items were dry and like rubber.

location

Stayed in December 2022",Stayed in December 2022,Pratik,3.0
"Nothing......

So clean and the breakfast is amazing you had a lot of choices for for the foreigner like me.....

Stayed in December 2022",Stayed in December 2022,Chinchin,10
"Everything

Nothing

Stayed in December 2022",Stayed in December 2022,Rajesh,1.0
"the flush was a problem but the rest of the stuff was ok

it was clean and. nice. like most business hotels we have visted  also liked cleaner Lakshman he was very attentive and cleaned properly

Stayed in December 2022",Stayed in December 2022,Jamie,10
"Nothing.....its totally perfect....because you can stayed first so the payment is on Check out time..... So different kinda of rules...

It's awesome the employees and housekeeping is absolutely friendly and smiling I love the ambiance so clean and perfect fit for me the breakfast totally I love it....

Stayed in December 2022",Stayed in December 2022,Chinchin,10
"I stayed in this hotel for 15 nights in February 2022 and had a great experience. This time I wanted to stay for 15 nights but after 9 nights of stay I moved to another hotel because of various issues like leaking showers, smelly rooms, ineffective air conditioner, lot of issues with house keeping not cleaning in time even after few reminders, not replacing towels, ,mugs etc.There is always a wait in the breakfast area. Food quality is not as good as before.Overall customer service has gone down drastically here.

Location of the hotel is a plus point

Stayed in November 2022",Stayed in November 2022,Pratiti,5.0
"I stayed in this hotel for 15 nights in February 2022 and had a great experience. This time I wanted to stay for 15 nights but after 9 nights of stay I moved to another hotel because of various issues like leaking showers, smelly rooms, ineffective air conditioner, lot of issues with house keeping not cleaning in time even after few reminders, not replacing towels, ,mugs etc.There is always a wait in the breakfast area. Food quality is not as good as before.Overall customer service has gone down drastically here.We felt cheated at the time of checkin at 5:30 am from the airport. I was told it is subject to availability and will incur some charges but we had to pay full day charge. If this is hotel's policy it must be conveyed before when early checkin was requested. In February '22 we arrived at the same time and were allowed early checkin without any extra cost. I understand it is no way our right to check in early but there should be a clear policy. Room was only available if we pay full day charge which I felt was a cheeky way.

Location of the hotel is a plus point

Stayed in November 2022",Stayed in November 2022,Pratiti,5.0
"location is great and the condition of the hotel is excellent.

Stayed in November 2022",Stayed in November 2022,Vipul,10
"the service, the room, degree of cleanliness

nothing

Stayed in December 2022",Stayed in December 2022,Alka,3.0
"Very good place to stay

Stayed in September 2022",Stayed in September 2022,Rohitk790,10
"bathroom fittings

location

Stayed in November 2022",Stayed in November 2022,Abdul,10
"Almost every thing.
very basic rooms
they have sprayed the Marilolundhu perfume..Full of room and even was rooms..can’t stay in ..Compleat head ache.not able to tolerate.
in toilet health facets tape is not at all stopping..
very much old style of basic hotel
In the breakfast buffet Area we have to wait for long because of limited space.
like us lot of guests were waited.

Bed was comfortable

Stayed in November 2022",Stayed in November 2022,G,3.0
"Food was not good.
Room service never picked up the phone for nearly 30 mins.
Eventually when we went down to the restuarant they said they were closing. And that they will take the order and send it the room
Food was cold and tasteless.

Only the Room.

Stayed in November 2022",Stayed in November 2022,Ravi,6.0
"I DONT THINK IN HSE FOOD WAS A GOUMET   AND THE CHARGES ARE SKY HIGH .

IT WAS OK .YR  REDISOON BLUE  DELHI   IS  FAR  FAR  MUCH BETTER . YR  FOOD CHARGES  FOR IN ROOM SERVICES  JUST  TOO TOO HIGH .

Stayed in November 2022",Stayed in November 2022,Janardan,5.0
"professional staff. clean and very good location.

Stayed in November 2022",Stayed in November 2022,Minaz,10
"i had organised a cake and balloons complementary to my stay for my parents anniversary and although the hotel said this would be accommodated for ahead of arrival, it wasn’t taken care of even during our stay. disappointed.

pretty only on the outside. the rooms we got given were below average and had to be upgraded to the exec suites due to heavy damp. my parents are old and needed a room which had fresh air. this was provided by staff member Akash.

Stayed in October 2022",Stayed in October 2022,Pooja,4.0
"1) one touch service , it does not work 
2) wash room corners should be cleaned and modernised 
3) wash room is dark and should be brighter 
4) Toiletaries… printed word for shampoo, conditioner or body wash is so small … u need magnifying glass to read

May be in room food

Stayed in November 2022",Stayed in November 2022,Vipin,4.0
"the staff especially the concierge staff. unhelpful. made our stay very uncomfortable.

cleanliness

Stayed in November 2022",Stayed in November 2022,Balraj,1.0
"Ac didn't work in the suite we took.
Housekeeping wasn't great
Breakfast wasn't great either

The location

Stayed in June 2022",Stayed in June 2022,Neerja,5.0
"The staff isn't well trained. The hotel felt very classist. We arrived at the hotel in an auto, we were stopped at the checkpoint gate, and no one even helped us with the luggage. The room that was given to us was very unclean, the standard of cleanliness was substantially lower than what one would expect for a hotel that is rated 5 star. They did give us some complimentary service after I complained to the manager.

Stayed in May 2022",Stayed in May 2022,Akanksha,1.0
"restaurant and food was pathetic

Stayed in May 2022",Stayed in May 2022,Gaurav,5.0
"Nice food and also staff are helpfull

Stayed in May 2022",Stayed in May 2022,Vishal,10
"Nothing that i didnt like.

Warm hospitality, central location and great food

Stayed in April 2022",Stayed in April 2022,Aashish,10
"Best food and center location

Stayed in April 2022",Stayed in April 2022,Jignesh,10
"nothing

Stayed in April 2022",Stayed in April 2022,Sham,4.0
"Nothing...all was well

Overall it was a great stay

Stayed in April 2022",Stayed in April 2022,Dinesh,10
"Excellent service and a wide variety of delicious food options. Staff were very warm and welcoming not only at the reception but also in the restaurant (special mention for Chef Manoj and Ankit).  Room was very clean bright and comfortable.  They also gave us an early check in and late check out. Also very good recommendation on the tour company. All in all Radisson Blu made our holiday memorable.  Will certainly recommend it and revisit. Thanks so much

Stayed in April 2022",Stayed in April 2022,Aashish,10
"Everything is overpriced,there was no guidance for foreigners, lifts rarely worked, room was disappointing given the stars status.

Location.

Stayed in March 2022",Stayed in March 2022,Rrawan,5.0
"Beautiful room and the stay was just too good. Thank you everyone around who helped me to make a better place to love

Stayed in February 2022",Stayed in February 2022,Vimal,10
"in the city

Stayed in April 2022",Stayed in April 2022,Bhavna,10
"Would recommend everybody to stay here. Comfortable rooms, helpful staff especially in the front desk. My stay was hassle-free. Cheers!!!

Stayed in April 2022",Stayed in April 2022,Abhishek,10
"Nothing to complain

Good location and service

Stayed in March 2022",Stayed in March 2022,Aditya,10
"Excellent location, Amenities  great staff

Stayed in February 2022",Stayed in February 2022,Sita,10
"AC was not working
When reported to manager, he dint even bothered.

Room
Breakfast
Staff

Stayed in December 2021",Stayed in December 2021,Himanshu,5.0
"Should be included in your tariff or made complimentary

Did not have BF as it was not complimentary or inclusive of your tariff

Stayed in March 2022",Stayed in March 2022,Devang,5.0
"The gym though well equipped doesn't have an attendant/trainer

The hospitality and the way the staff puts in efforts to accommodate your requests is commendable

Stayed in March 2022",Stayed in March 2022,Rasika,10
"Room service

Improve room services

Stayed in February 2022",Stayed in February 2022,Info,10
"Great stay,one of the best i ever had,and all this thanks to the personal from Radisson Blu.Special thanks to Priyanka and my next stay will be there for sure .

Stayed in February 2022",Stayed in February 2022,Iyi,10
"not informed about chargeable breakfast in super delux rooms no complementary or welcome benefits

inform about the facilities

Stayed in January 2022",Stayed in January 2022,Emil,1.0
"Breakfast had an excellent spread. The Tea in a glass was great ""feel India"" idea. The service was exceptional, especially the manager was taking extra effort to keep the hospitality levels truly a royal class

Stayed in February 2022",Stayed in February 2022,Rajesh,10
"service

location

Stayed in February 2022",Stayed in February 2022,Motiwala,1.0
"Location: In the heart of the cityStaff: Courteous Breakfast: Very Good

Stayed in January 2022",Stayed in January 2022,Amar,10
"South Indian dishes & meat spread can certainly improve

Food quality was very good also service !

Stayed in January 2022",Stayed in January 2022,Hemant,10
"curtain in side glass wall bathroom is so thin, person inside toilet is totally visible.It may be style for couples but in trip for business with colleague is absolutely embarrassing.

Breakfast is so so but I had dinner once and it was a horrible experience.To me Buffet at both the sides restaurants are over charged when I get better at Mumbai. I opted for a lamb biriyani. After an hour they served me some thing where spices are not cooked properly and lamb taste is not at all good. I thought, it's my mistake having food there so continuing but after a few spoons, it is full of salt. I complained and they also accepted. Again they served me a new plate taking further 25 mins. Taste was so so, I just filled my stomach and came out from Tiffeny restaurant.

Stayed in July 2021",Stayed in July 2021,Paul,5.0
"Un pleasant Staff and unprofessional approach 
I booked a king room which was not available and on being asked they said due to technical issues king room inventory is still showing on OTA 
The carpets were smelling and bathrooms were averagely cleaned 
The quality of soaps and shampoo was like that of an OYO

Rates

Stayed in July 2021",Stayed in July 2021,Siddharth,4.0
"Everything is good

Cleanliness and food

Stayed in July 2021",Stayed in July 2021,Mukesh,10
"Reception staff very arrogant and didn't hear anything of our requirements.

Restaurants staff and food quality

Stayed in June 2021",Stayed in June 2021,Milind,1.0
"If any body come to meet any guest plz don't charge extra .

Receptionist divakar,s behaviour was very bad

Stayed in June 2021",Stayed in June 2021,Amit,1.0
"Location services clean 👌

Stayed in June 2021",Stayed in June 2021,Patrick,10
"There was nothing that I didn't like

Each and every thing i like of this hotel seriouslý worth staying there and its a money worth

Stayed in June 2021",Stayed in June 2021,Vicky,10
"Nothinggggggg

Jyotii and monika was there in desk 
And they are so nicee to talkk 
They are always there for me at any timee
They don't feel me like tht i am in hotell 
Best staff in town ❤️ 
And yaa tariff ka sirf jyoti and monika ❤️

Stayed in April 2021",Stayed in April 2021,Keshav,10
"Service at breakfast was very very slow

Location, room, reception staff

Stayed in October 2021",Stayed in October 2021,Anonymous,9.0
"Wev really didn't appreciate how the hotel was allowing weddings to be hosted in the hotel with huge gatherings during covid times. 
Even during the breakfast hours, you'd find people arriving at the breakfast area without masks. Anyone who is aware of the high number of covid cases in Ahmedabad will have atleast a little understanding to keep wearing the masks at all times except when eating in public areas. 
I will really appreciate if the hotel management at Radisson steps up in this matter.

We appreciate the prompt services provided by the concierge and the housekeeping.

Stayed in May 2021",Stayed in May 2021,Anonymous,7.0
"Described above

This is not five star for sure. This is three star hotel and shame of Raddison network. Staff should learn English and go under “five star training” 
Approximately everything was really bad, starting from security, staff, rooms, service, food, communication and so on. 
I have been in five star hotels around the world and in India too, so it’s not the one, even closely. Avoid

Stayed in November 2023",Stayed in November 2023,Anonymous,1.0
"The food can be better . The staff takes a lot of time to get the ordered food. They need to be more proactive

The room , services all great

Stayed in October 2023",Stayed in October 2023,Anonymous,10
"Nothing

Excellent service overall

Stayed in October 2023",Stayed in October 2023,Anonymous,10
"Generally, the supplies and supplies that should be added to the room after finishing the room should also be prepared together. But every time the room is cleaned up in the morning, the room will be short of mineral water, towels and the like. Although the service staff is very polite, it is a pity that it takes several times a day to complete the housekeeping service and replenish the supplies.

I feel that the breakfast is rich, and the attitude and efficiency of the chefs and service staff are impressive.

Stayed in July 2023",Stayed in July 2023,Anonymous,6.0
"The room cleaning is not good, often lack of water, forget to add new towels and paper towels, and clean the room perfunctorily

rich breakfast

Stayed in July 2023",Stayed in July 2023,Anonymous,5.0
"Nice stay great service

Stayed in July 2023",Stayed in July 2023,Anonymous,10
"nothing

good

Stayed in May 2023",Stayed in May 2023,Anonymous,10
"cleaning sarvice

good sarvice nice property

Stayed in May 2023",Stayed in May 2023,Anonymous,10
"nothing like this

excellent ambience

Stayed in May 2023",Stayed in May 2023,Anonymous,10
"na

Great Staff Wonderful Service

Stayed in February 2023",Stayed in February 2023,Anonymous,10
"bathroom

Stayed in February 2023",Stayed in February 2023,Anonymous,10
"rooms

very nice

Stayed in December 2022",Stayed in December 2022,Anonymous,10
"everything

Stayed in October 2022",Stayed in October 2022,Anonymous,10
"sarvice

very nice

Stayed in August 2022",Stayed in August 2022,Anonymous,10
"very nice

all good

Stayed in May 2022",Stayed in May 2022,Anonymous,10
"There are no comments available for this review

Stayed in December 2023",Stayed in December 2023,Raxit,9.0
"There are no comments available for this review

Stayed in November 2023",Stayed in November 2023,Edward,7.0
"There are no comments available for this review

Stayed in December 2023",Stayed in December 2023,Dungarani,8.0
"There are no comments available for this review

Stayed in October 2023",Stayed in October 2023,Dhanisha,8.0
"There are no comments available for this review

Stayed in November 2023",Stayed in November 2023,Ankush,8.0
"There are no comments available for this review

Stayed in October 2023",Stayed in October 2023,Devmurari,8.0
"There are no comments available for this review

Stayed in October 2023",Stayed in October 2023,Ali,8.0
"There are no comments available for this review

Stayed in November 2023",Stayed in November 2023,Natwarlal,8.0
"There are no comments available for this review

Stayed in September 2023",Stayed in September 2023,Sridhar,9.0
"There are no comments available for this review

Stayed in November 2023",Stayed in November 2023,Sridhar,9.0
"There are no comments available for this review

Stayed in November 2023",Stayed in November 2023,Surabhi,9.0
"There are no comments available for this review

Stayed in November 2023",Stayed in November 2023,Samir,9.0
"There are no comments available for this review

Stayed in October 2023",Stayed in October 2023,Katkani,7.0
"There are no comments available for this review

Stayed in October 2023",Stayed in October 2023,R,9.0
"There are no comments available for this review

Stayed in September 2023",Stayed in September 2023,Puneet,9.0
"There are no comments available for this review

Stayed in October 2023",Stayed in October 2023,Lagan,8.0
"There are no comments available for this review

Stayed in October 2023",Stayed in October 2023,Sunil,8.0
"There are no comments available for this review

Stayed in August 2023",Stayed in August 2023,Natwarlal,9.0
"There are no comments available for this review

Stayed in October 2023",Stayed in October 2023,Haanim,9.0
"There are no comments available for this review

Stayed in October 2023",Stayed in October 2023,Gagandeep,8.0
"There are no comments available for this review

Stayed in October 2023",Stayed in October 2023,Vivek,9.0
"There are no comments available for this review

Stayed in October 2023",Stayed in October 2023,Haanim,9.0
"There are no comments available for this review

Stayed in October 2023",Stayed in October 2023,Chirag,9.0
"There are no comments available for this review

Stayed in October 2023",Stayed in October 2023,Vishal,8.0
"There are no comments available for this review

Stayed in October 2023",Stayed in October 2023,Mamta,8.0
"There are no comments available for this review

Stayed in June 2023",Stayed in June 2023,Amir,7.0
"There are no comments available for this review

Stayed in June 2023",Stayed in June 2023,Sergei,8.0
"There are no comments available for this review

Stayed in May 2023",Stayed in May 2023,Nditsheni,7.0
"There are no comments available for this review

Stayed in June 2023",Stayed in June 2023,Ashish,8.0
"There are no comments available for this review

Stayed in June 2023",Stayed in June 2023,Shivani,9.0
"There are no comments available for this review

Stayed in May 2023",Stayed in May 2023,Kunal,8.0
"There are no comments available for this review

Stayed in June 2023",Stayed in June 2023,Mahendra,9.0
"There are no comments available for this review

Stayed in June 2023",Stayed in June 2023,Anand,8.0
"There are no comments available for this review

Stayed in June 2023",Stayed in June 2023,Shivam,8.0
"There are no comments available for this review

Stayed in May 2023",Stayed in May 2023,Ramesh,9.0
"There are no comments available for this review

Stayed in April 2023",Stayed in April 2023,Milap,9.0
"There are no comments available for this review

Stayed in May 2023",Stayed in May 2023,Thameem,8.0
"There are no comments available for this review

Stayed in May 2023",Stayed in May 2023,Maran,9.0
"There are no comments available for this review

Stayed in May 2023",Stayed in May 2023,Raj,8.0
"There are no comments available for this review

Stayed in May 2023",Stayed in May 2023,Aakash,9.0
"There are no comments available for this review

Stayed in February 2023",Stayed in February 2023,Vijay,8.0
"There are no comments available for this review

Stayed in May 2023",Stayed in May 2023,Ashish,9.0
"There are no comments available for this review

Stayed in May 2023",Stayed in May 2023,Manmohit,9.0
"There are no comments available for this review

Stayed in April 2023",Stayed in April 2023,Kaushik,8.0
"There are no comments available for this review

Stayed in May 2023",Stayed in May 2023,Kapil,9.0
"There are no comments available for this review

Stayed in March 2023",Stayed in March 2023,Mohmed,8.0
"There are no comments available for this review

Stayed in May 2023",Stayed in May 2023,Jignesh,8.0
"There are no comments available for this review

Stayed in May 2023",Stayed in May 2023,Rangaswamy,8.0
"There are no comments available for this review

Stayed in May 2023",Stayed in May 2023,Amar,9.0
"There are no comments available for this review

Stayed in April 2023",Stayed in April 2023,Mohit,9.0
"There are no comments available for this review

Stayed in November 2022",Stayed in November 2022,Sivakumar,9.0
"There are no comments available for this review

Stayed in December 2022",Stayed in December 2022,Bhaveshkumar,8.0
"There are no comments available for this review

Stayed in December 2022",Stayed in December 2022,Ashik,9.0
"There are no comments available for this review

Stayed in December 2022",Stayed in December 2022,Siddharth,9.0
"There are no comments available for this review

Stayed in December 2022",Stayed in December 2022,Deepak,7.0
"There are no comments available for this review

Stayed in December 2022",Stayed in December 2022,Rajesh,8.0
"There are no comments available for this review

Stayed in December 2022",Stayed in December 2022,Umang,9.0
"There are no comments available for this review

Stayed in December 2022",Stayed in December 2022,Uday,9.0
"There are no comments available for this review

Stayed in December 2022",Stayed in December 2022,Stephanie,8.0
"There are no comments available for this review

Stayed in December 2022",Stayed in December 2022,Naval,8.0
"There are no comments available for this review

Stayed in December 2022",Stayed in December 2022,Norbu,9.0
"There are no comments available for this review

Stayed in December 2022",Stayed in December 2022,Antwone,9.0
"There are no comments available for this review

Stayed in November 2022",Stayed in November 2022,Daniel,7.0
"There are no comments available for this review

Stayed in November 2022",Stayed in November 2022,Hetvi,8.0
"There are no comments available for this review

Stayed in November 2022",Stayed in November 2022,Samar,8.0
"There are no comments available for this review

Stayed in November 2022",Stayed in November 2022,Rajesh,8.0
"There are no comments available for this review

Stayed in November 2022",Stayed in November 2022,Ragini,8.0
"There are no comments available for this review

Stayed in November 2022",Stayed in November 2022,Adesara,8.0
"There are no comments available for this review

Stayed in October 2022",Stayed in October 2022,Gurdeep,7.0
"There are no comments available for this review

Stayed in November 2022",Stayed in November 2022,Solanki,8.0
"There are no comments available for this review

Stayed in November 2022",Stayed in November 2022,Vipul,8.0
"There are no comments available for this review

Stayed in November 2022",Stayed in November 2022,Sadananda,8.0
"There are no comments available for this review

Stayed in October 2022",Stayed in October 2022,Ayush,8.0
"There are no comments available for this review

Stayed in October 2022",Stayed in October 2022,Ayaz,8.0
"There are no comments available for this review

Stayed in November 2022",Stayed in November 2022,Pankaj,8.0
"There are no comments available for this review

Stayed in June 2022",Stayed in June 2022,Shiv,9.0
"There are no comments available for this review

Stayed in June 2022",Stayed in June 2022,Pritesh,9.0
"There are no comments available for this review

Stayed in June 2022",Stayed in June 2022,Manas,8.0
"There are no comments available for this review

Stayed in April 2022",Stayed in April 2022,Sunesh,8.0
"There are no comments available for this review

Stayed in April 2022",Stayed in April 2022,Vivek,7.0
"There are no comments available for this review

Stayed in March 2022",Stayed in March 2022,Pramod,9.0
"There are no comments available for this review

Stayed in May 2022",Stayed in May 2022,Vinod,7.0
"There are no comments available for this review

Stayed in May 2022",Stayed in May 2022,Reena,8.0
"There are no comments available for this review

Stayed in May 2022",Stayed in May 2022,Aakram,7.0
"There are no comments available for this review

Stayed in March 2022",Stayed in March 2022,Blessy,7.0
"There are no comments available for this review

Stayed in March 2022",Stayed in March 2022,Blessy,7.0
"There are no comments available for this review

Stayed in May 2022",Stayed in May 2022,Meshram,8.0
"There are no comments available for this review

Stayed in May 2022",Stayed in May 2022,Rajeev,8.0
"There are no comments available for this review

Stayed in April 2022",Stayed in April 2022,Neena,8.0
"There are no comments available for this review

Stayed in May 2022",Stayed in May 2022,Ishwa,9.0
"There are no comments available for this review

Stayed in February 2022",Stayed in February 2022,Hiral,8.0
"There are no comments available for this review

Stayed in May 2022",Stayed in May 2022,Anurag,7.0
"There are no comments available for this review

Stayed in May 2022",Stayed in May 2022,Vineet,9.0
"There are no comments available for this review

Stayed in May 2022",Stayed in May 2022,Ashok,7.0
"There are no comments available for this review

Stayed in May 2022",Stayed in May 2022,Monica,9.0
"There are no comments available for this review

Stayed in March 2022",Stayed in March 2022,Soniya,8.0
"There are no comments available for this review

Stayed in April 2022",Stayed in April 2022,Saifee,9.0
"There are no comments available for this review

Stayed in May 2022",Stayed in May 2022,Saha,8.0
"There are no comments available for this review

Stayed in April 2022",Stayed in April 2022,Sohel,8.0
"There are no comments available for this review

Stayed in May 2022",Stayed in May 2022,Yogesh,9.0
"There are no comments available for this review

Stayed in December 2021",Stayed in December 2021,Paresh,9.0
"There are no comments available for this review

Stayed in December 2021",Stayed in December 2021,Jaiswal,9.0
"There are no comments available for this review

Stayed in December 2021",Stayed in December 2021,Faisal,9.0
"There are no comments available for this review

Stayed in December 2021",Stayed in December 2021,Merajul,8.0
"There are no comments available for this review

Stayed in December 2021",Stayed in December 2021,Abhijit,8.0
"There are no comments available for this review

Stayed in December 2021",Stayed in December 2021,Prasad,8.0
"There are no comments available for this review

Stayed in November 2021",Stayed in November 2021,Jitendra,9.0
"There are no comments available for this review

Stayed in November 2021",Stayed in November 2021,Sarfarazul,8.0
"There are no comments available for this review

Stayed in November 2021",Stayed in November 2021,Milan,7.0
"There are no comments available for this review

Stayed in November 2021",Stayed in November 2021,Bitika,9.0
"There are no comments available for this review

Stayed in November 2021",Stayed in November 2021,Sheetal,9.0
"There are no comments available for this review

Stayed in November 2021",Stayed in November 2021,Gaurav,8.0
"There are no comments available for this review

Stayed in November 2021",Stayed in November 2021,Rajput,9.0
"There are no comments available for this review

Stayed in September 2021",Stayed in September 2021,Goenka,8.0
"There are no comments available for this review

Stayed in October 2021",Stayed in October 2021,Dr,8.0
"There are no comments available for this review

Stayed in November 2021",Stayed in November 2021,Sharat,8.0
"There are no comments available for this review

Stayed in October 2021",Stayed in October 2021,Repaul,8.0
"There are no comments available for this review

Stayed in October 2021",Stayed in October 2021,Priyank,9.0
"There are no comments available for this review

Stayed in October 2021",Stayed in October 2021,Rajendra,9.0
"There are no comments available for this review

Stayed in October 2021",Stayed in October 2021,Bhavin,7.0
"There are no comments available for this review

Stayed in October 2021",Stayed in October 2021,Shreyas,8.0
"There are no comments available for this review

Stayed in September 2021",Stayed in September 2021,Debasis,7.0
"There are no comments available for this review

Stayed in October 2021",Stayed in October 2021,Vijay,8.0
"There are no comments available for this review

Stayed in September 2021",Stayed in September 2021,Lalit,8.0
"There are no comments available for this review

Stayed in September 2021",Stayed in September 2021,Lokendra,9.0
"There are no comments available for this review

Stayed in February 2024",Stayed in February 2024,Vivek,1.0
"There are no comments available for this review

Stayed in January 2024",Stayed in January 2024,Taher,1.0
"There are no comments available for this review

Stayed in January 2024",Stayed in January 2024,Abdul,1.0
"There are no comments available for this review

Stayed in January 2024",Stayed in January 2024,Acharya,10
"There are no comments available for this review

Stayed in December 2023",Stayed in December 2023,Anil,10
"There are no comments available for this review

Stayed in January 2024",Stayed in January 2024,Mohammed,10
"There are no comments available for this review

Stayed in January 2024",Stayed in January 2024,Baruah,10
"There are no comments available for this review

Stayed in November 2023",Stayed in November 2023,Falahaldeen,10
"There are no comments available for this review

Stayed in December 2023",Stayed in December 2023,Ajinkya,10
"There are no comments available for this review

Stayed in January 2024",Stayed in January 2024,Sanjay,6.0
"There are no comments available for this review

Stayed in December 2023",Stayed in December 2023,Ritesh,3.0
"There are no comments available for this review

Stayed in January 2024",Stayed in January 2024,Adrian,10
"There are no comments available for this review

Stayed in December 2023",Stayed in December 2023,Devinder,1.0
"There are no comments available for this review

Stayed in December 2023",Stayed in December 2023,Iuliia,6.0
"There are no comments available for this review

Stayed in December 2023",Stayed in December 2023,Aresha,5.0
"There are no comments available for this review

Stayed in December 2023",Stayed in December 2023,Zhuang,10
"There are no comments available for this review

Stayed in December 2023",Stayed in December 2023,Parag,10
"There are no comments available for this review

Stayed in December 2023",Stayed in December 2023,Bhavin,6.0
"There are no comments available for this review

Stayed in December 2023",Stayed in December 2023,Nishith,10
"There are no comments available for this review

Stayed in December 2023",Stayed in December 2023,Raj,10
"There are no comments available for this review

Stayed in December 2023",Stayed in December 2023,Piyush,4.0
"There are no comments available for this review

Stayed in December 2023",Stayed in December 2023,Venugopal,10
"There are no comments available for this review

Stayed in December 2023",Stayed in December 2023,Sukhadia,10
"There are no comments available for this review

Stayed in November 2023",Stayed in November 2023,Chirag,10
"There are no comments available for this review

Stayed in October 2023",Stayed in October 2023,Anupam,6.0
"There are no comments available for this review

Stayed in August 2023",Stayed in August 2023,Anonymously,10
"There are no comments available for this review

Stayed in August 2023",Stayed in August 2023,Raju,10
"There are no comments available for this review

Stayed in August 2023",Stayed in August 2023,Deepak,10
"There are no comments available for this review

Stayed in July 2023",Stayed in July 2023,Kumar,10
"There are no comments available for this review

Stayed in August 2023",Stayed in August 2023,Karan,5.0
"There are no comments available for this review

Stayed in July 2023",Stayed in July 2023,Jay,10
"There are no comments available for this review

Stayed in July 2023",Stayed in July 2023,Champaneri,10
"There are no comments available for this review

Stayed in July 2023",Stayed in July 2023,Arjun,10
"There are no comments available for this review

Stayed in July 2023",Stayed in July 2023,Mohit,10
"There are no comments available for this review

Stayed in July 2023",Stayed in July 2023,Gaurang,10
"There are no comments available for this review

Stayed in July 2023",Stayed in July 2023,Jonathon,10
"There are no comments available for this review

Stayed in July 2023",Stayed in July 2023,Anup,10
"There are no comments available for this review

Stayed in July 2023",Stayed in July 2023,Arjun,10
"There are no comments available for this review

Stayed in July 2023",Stayed in July 2023,Shashank,10
"There are no comments available for this review

Stayed in July 2023",Stayed in July 2023,Shinde,10
"There are no comments available for this review

Stayed in June 2023",Stayed in June 2023,Ashish,10
"There are no comments available for this review

Stayed in July 2023",Stayed in July 2023,Pinaki,10
"There are no comments available for this review

Stayed in July 2023",Stayed in July 2023,Sita,10
"There are no comments available for this review

Stayed in July 2023",Stayed in July 2023,Nevaan,10
"There are no comments available for this review

Stayed in June 2023",Stayed in June 2023,Jaikishan,10
"There are no comments available for this review

Stayed in July 2023",Stayed in July 2023,Gaurav,10
"There are no comments available for this review

Stayed in July 2023",Stayed in July 2023,Krishan,10
"There are no comments available for this review

Stayed in July 2023",Stayed in July 2023,Shah,10
"There are no comments available for this review

Stayed in June 2023",Stayed in June 2023,Parth,10
